Index,X,Y,DisplayX,DisplayY,IN_SingleLine,USER_State_or_Territory,USER_Association_Name,USER_Website,USER_Email,USER_Phone,USER_Fax,USER_Address,USER_Opening_Hours,USER_Source_Page,USER_Georef
1,149.127654949727997,-35.277869964613998,149.127385974454995,-35.277813386767001,"1 Moore Street, Canberra ACT 2601",Australian Capital Territory,ACT & Districts Stoma Association,actstoma.net.au,stoma@actstoma.net.au,'(02) 5124 4888,,"Second floor, City Health Building, 1 Moore Street, Canberra ACT 2601",Phone service Monday-Thursday 10am-1pm,1,"1 Moore Street, Canberra ACT 2601"
2,153.381531077148992,-27.939086928003999,153.381537531215002,-27.939086005995001,"8 Dunkirk Close, Arundel QLD 4214",Queensland,Gold Coast Ostomy Association,goldcoastostomy.com.au,assoc@gcostomy.com.au,'(07) 5594 7633,'(07) 5571 7481,"8 Dunkirk Close, Arundel QLD 4214",Tuesday and Thursday 9am-2:30pm,1,"8 Dunkirk Close, Arundel QLD 4214"
3,146.734728462405002,-19.300566799613001,146.734752350829012,-19.300327496276999,"13 Castlemaine Street, Kirwan QLD 4817",Queensland,North Queensland Ostomy Association,nqostomy.org.au,admin@nqostomy.org.au,'(07) 4775 2303,,"13 Castlemaine Street, Kirwan QLD 4817",Monday and Thursday 9am-4pm; Wednesday 9am-12:30pm,1,"13 Castlemaine Street, Kirwan QLD 4817"
4,153.022900285676002,-27.526199825818999,153.023250900685014,-27.526271239633999,"22 Beaudesert Road, Moorooka QLD 4105",Queensland,Queensland Ostomy Association,qldostomy.org.au,admin@qldostomy.org.au,'(07) 3848 7178,,"22 Beaudesert Road, Moorooka QLD 4105",Monday 9am-2pm; Tuesday and Thursday 9am-3pm,1,"22 Beaudesert Road, Moorooka QLD 4105"
5,130.885849171730996,-12.376626824203999,130.885935505333009,-12.376362123702000,"25 Vanderlin Drive, Casuarina NT 0811",Northern Territory,Cancer Council Northern Territory,nt.cancer.org.au,ostomy@cancernt.org.au,'(08) 8944 1800,'(08) 8927 4990,"Unit 2, 25 Vanderlin Drive, Casuarina NT 0811",Monday to Thursday 8:30am-2pm,1,"25 Vanderlin Drive, Casuarina NT 0811"
6,151.119756815545003,-34.030433978900000,151.120222262628005,-34.030522324159001,"228-232 Taren Point Road, Caringbah NSW 2229",New South Wales,Stoma Support Services (Ostomy NSW),ostomynsw.org.au,orders@stomasupportservices.org.au,'(02) 9542 1300,'(02) 9542 1400,"Unit 3, 228-232 Taren Point Road, Caringbah NSW 2229",Monday-Thursday 9am-2pm,1,"228-232 Taren Point Road, Caringbah NSW 2229"
7,153.025438242137994,-27.393005307481001,153.025667990104012,-27.393048306644001,"10 Valente Close, Chermside QLD 4032",Queensland,Queensland Stoma Association,qldstoma.asn.au,admin@qldstoma.asn.au,'(07) 3359 7570,'(07) 3350 1882,"Unit 1, 10 Valente Close, Chermside QLD 4032",Monday to Thursday 8:30am-2:30pm,1,"10 Valente Close, Chermside QLD 4032"
8,151.171861156435995,-33.888841045036997,151.171861156435995,-33.888841045036997,"7-29 Bridge Road, Stanmore NSW 2018",New South Wales,NSW Stoma Ltd,nswstoma.org.au,info@nswstoma.org.au,'1300 OSTOMY; (02) 9565 4315,,"Unit 5, 7-29 Bridge Road, Stanmore NSW 2018",Monday to Thursday 8am-4pm; Friday 8am-2pm,1,"7-29 Bridge Road, Stanmore NSW 2018"
9,152.338623922475989,-24.872673095610001,152.338681589970008,-24.872878033142999,"88A Crofton Street, Bundaberg West QLD",Queensland,Wide Bay Ostomates Association,wboa.org.au,admin@wboa.org.au,'(07) 4152 4715,'(07) 4153 5460,"88A Crofton Street, Bundaberg West QLD","Tuesday, Wednesday and Thursday 8:30am-3pm",1,"88A Crofton Street, Bundaberg West QLD"
10,151.971497066306000,-27.596407024002001,151.971498658867006,-27.596407526916000,"256 Stenner Street, Middle Ridge QLD 4350",Queensland,Toowoomba & South West Ostomy Association,,admin@tswoa.asn.au,'(07) 4636 9701; Jason 0438 554 064,,"Education Centre, 256 Stenner Street, Middle Ridge QLD 4350",Tuesday 9am-3:30pm,1,"256 Stenner Street, Middle Ridge QLD 4350"
